country,year,pm25,iso3,daly,diff,ln_pm25,ln_daly
Austria,2021,13.563055555555556,AUT,3099,3,2.607349593083341,8.038834757787749
Austria,2021,11.086857142857143,AUT,3099,2,2.405760365603669,8.038834757787749
Belgium,2021,12.55177777777778,BEL,5031,3,2.529862311145409,8.523374050491318
Belgium,2021,10.925531914893616,BEL,5031,2,2.3911024276585544,8.523374050491318
Bulgaria,2021,19.584285714285716,BGR,3391,3,2.9747274953924956,8.128880142125638
Bulgaria,2021,16.538571428571426,BGR,3391,2,2.805695315162324,8.128880142125638
Croatia,2021,15.6775,HRV,2019,3,2.752226563435039,7.610357618312838
Croatia,2021,13.715,HRV,2019,2,2.6184901243895666,7.610357618312838
Cyprus,2021,12.941999999999998,CYP,948,3,2.5604778366350742,6.854354502255021
Cyprus,2021,13.025,CYP,948,2,2.5668705876394307,6.854354502255021
Czechia,2021,20.40686274509804,CZE,4623,3,3.0158712533507592,8.438799123988225
Czechia,2021,15.284736842105264,CZE,4623,2,2.7268547384530284,8.438799123988225
Denmark,2021,12.222,DNK,1500,3,2.5032376064727235,7.313220387090301
Denmark,2021,10.242,DNK,1500,2,2.3264969130403585,7.313220387090301
Estonia,2021,6.095714285714286,EST,59,3,1.8075859481445953,4.07753744390572
Estonia,2021,4.5975,EST,59,2,1.5255126774963392,4.07753744390572
Finland,2021,6.016923076923077,FIN,166,3,1.7945760118658314,5.111987788356544
Finland,2021,5.308333333333334,FIN,166,2,1.6692779127901174,5.111987788356544
France,2021,10.373615384615384,FRA,30945,3,2.3392656003060557,10.339966714173462
France,2021,9.418161764705882,FRA,30945,2,2.242639927794675,10.339966714173462
Germany,2021,12.579533333333334,DEU,20893,3,2.532071154664775,9.947169453622251
Germany,2021,10.363333333333333,DEU,20893,2,2.338273935402553,9.947169453622251
Greece,2021,16.599999999999998,GRC,7145,3,2.8094026953624973,8.874168090363968
Greece,2021,16.838,GRC,7145,2,2.8236382369154724,8.874168090363968
Hungary,2021,18.578333333333333,HUN,4498,3,2.9219960271734773,8.411388132519262
Hungary,2021,14.804285714285713,HUN,4498,2,2.694916714140813,8.411388132519262
Ireland,2021,7.87125,IRL,1469,3,2.0632168808208156,7.292337176173877
Ireland,2021,8.896153846153847,IRL,1469,2,2.1856190312159116,7.292337176173877
Italy,2021,15.28847926267281,ITA,22294,3,2.727099555391712,10.01207286294957
Italy,2021,14.4304,ITA,22294,2,2.6693370924293065,10.01207286294957
Latvia,2021,14.168000000000001,LVA,809,3,2.6509859004805323,6.695798917058491
Latvia,2021,11.434000000000001,LVA,809,2,2.4365913728417796,6.695798917058491
Lithuania,2021,13.672,LTU,955,3,2.6153499458132896,6.86171134048073
Lithuania,2021,13.163999999999998,LTU,955,2,2.5774858310810935,6.86171134048073
Luxembourg,2021,9.483333333333333,LUX,156,3,2.24953587190423,5.049856007249537
Luxembourg,2021,7.986666666666667,LUX,156,2,2.077773484579139,5.049856007249537
Malta,2021,12.08125,MLT,259,3,2.491654663974504,5.556828061699537
Malta,2021,11.8,MLT,259,2,2.468099531471619,5.556828061699537
Netherlands,2021,12.340625,NLD,6567,3,2.5128966654928773,8.789812386190972
Netherlands,2021,10.91125,NLD,6567,2,2.3897943670674224,8.789812386190972
Poland,2021,23.2772,POL,39050,3,3.14747434071554,10.572598155267832
Poland,2021,18.734772727272727,POL,39050,2,2.930381301255216,10.572598155267832
Portugal,2021,7.857777777777778,PRT,2506,3,2.0615038409931685,7.826443135456014
Portugal,2021,6.546428571428572,PRT,2506,2,1.8789196446704555,7.826443135456014
Romania,2021,18.269166666666667,ROU,11165,3,2.9052147572350737,9.320539164274258
Romania,2021,15.9575,ROU,11165,2,2.7699289381480754,9.320539164274258
Slovakia,2021,18.11740740740741,SVK,2685,3,2.8968732113166467,7.895436006942965
Slovakia,2021,15.594074074074074,SVK,2685,2,2.7468909750411945,7.895436006942965
Slovenia,2021,15.3675,SVN,997,3,2.7322548897990275,6.904750769961838
Slovenia,2021,12.452499999999999,SVN,997,2,2.5219214059653012,6.904750769961838
Spain,2021,9.016129032258064,ESP,13186,3,2.1990150881100075,9.486910939673246
Spain,2021,8.96968085106383,ESP,13186,2,2.19385009584619,9.486910939673246
Sweden,2021,6.572222222222222,SWE,1107,3,1.8828520130881763,7.009408932708637
Sweden,2021,5.623333333333333,SWE,1107,2,1.726924607889767,7.009408932708637
