iso3,country,ln_daly,ln_pm25
AUT,Austria,8.038834757787749,2.607349593083341
AUT,Austria,8.038834757787749,2.405760365603669
BEL,Belgium,8.523374050491318,2.529862311145409
BEL,Belgium,8.523374050491318,2.3911024276585544
BGR,Bulgaria,8.128880142125638,2.9747274953924956
BGR,Bulgaria,8.128880142125638,2.805695315162324
HRV,Croatia,7.610357618312838,2.752226563435039
HRV,Croatia,7.610357618312838,2.6184901243895666
CYP,Cyprus,6.854354502255021,2.5604778366350742
CYP,Cyprus,6.854354502255021,2.5668705876394307
CZE,Czechia,8.438799123988225,3.0158712533507592
CZE,Czechia,8.438799123988225,2.7268547384530284
DNK,Denmark,7.313220387090301,2.5032376064727235
DNK,Denmark,7.313220387090301,2.3264969130403585
EST,Estonia,4.07753744390572,1.8075859481445953
EST,Estonia,4.07753744390572,1.5255126774963392
FIN,Finland,5.111987788356544,1.7945760118658314
FIN,Finland,5.111987788356544,1.6692779127901174
FRA,France,10.339966714173462,2.3392656003060557
FRA,France,10.339966714173462,2.242639927794675
DEU,Germany,9.947169453622251,2.532071154664775
DEU,Germany,9.947169453622251,2.338273935402553
GRC,Greece,8.874168090363968,2.8094026953624973
GRC,Greece,8.874168090363968,2.8236382369154724
HUN,Hungary,8.411388132519262,2.9219960271734773
HUN,Hungary,8.411388132519262,2.694916714140813
IRL,Ireland,7.292337176173877,2.0632168808208156
IRL,Ireland,7.292337176173877,2.1856190312159116
ITA,Italy,10.01207286294957,2.727099555391712
ITA,Italy,10.01207286294957,2.6693370924293065
LVA,Latvia,6.695798917058491,2.6509859004805323
LVA,Latvia,6.695798917058491,2.4365913728417796
LTU,Lithuania,6.86171134048073,2.6153499458132896
LTU,Lithuania,6.86171134048073,2.5774858310810935
LUX,Luxembourg,5.049856007249537,2.24953587190423
LUX,Luxembourg,5.049856007249537,2.077773484579139
MLT,Malta,5.556828061699537,2.491654663974504
MLT,Malta,5.556828061699537,2.468099531471619
NLD,Netherlands,8.789812386190972,2.5128966654928773
NLD,Netherlands,8.789812386190972,2.3897943670674224
POL,Poland,10.572598155267832,3.14747434071554
POL,Poland,10.572598155267832,2.930381301255216
PRT,Portugal,7.826443135456014,2.0615038409931685
PRT,Portugal,7.826443135456014,1.8789196446704555
ROU,Romania,9.320539164274258,2.9052147572350737
ROU,Romania,9.320539164274258,2.7699289381480754
SVK,Slovakia,7.895436006942965,2.8968732113166467
SVK,Slovakia,7.895436006942965,2.7468909750411945
SVN,Slovenia,6.904750769961838,2.7322548897990275
SVN,Slovenia,6.904750769961838,2.5219214059653012
ESP,Spain,9.486910939673246,2.1990150881100075
ESP,Spain,9.486910939673246,2.19385009584619
SWE,Sweden,7.009408932708637,1.8828520130881763
SWE,Sweden,7.009408932708637,1.726924607889767
